Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
female,25,1,0,STON/O2. 3101271,7.925,,S
female,29,0,0,24160,211.3375,B5,S
male,11,0,0,2699,18.7875,,C
male,,0,0,239855,0,,S
male,23,0,0,28425,13,,S
male,23,0,0,233639,13,,S
male,28.5,0,0,54636,16.1,,S
female,48,1,3,W./C. 6608,34.375,,S
male,35,0,0,PC 17755,512.3292,B101,C
male,,0,0,349201,7.8958,,S
male,,0,0,349218,7.8958,,S
male,,0,0,16988,30,D45,S
male,36,1,0,19877,78.85,C46,S
female,21,2,2,PC 17608,262.375,B57 B59 B63 B66,C
male,24,1,0,376566,16.1,,S
male,31,0,0,STON/O 2. 3101288,7.925,,S
male,70,1,1,WE/P 5735,71,B22,S
male,16,1,1,C.A. 2673,20.25,,S
female,30,0,0,250648,13,,S
male,19,1,0,113773,53.1,D30,S
male,31,0,0,335097,7.75,,Q
female,4,1,1,29103,23,,S
male,6,0,1,392096,12.475,E121,S
male,33,0,0,345780,9.5,,S
male,23,0,0,349204,7.8958,,S
female,48,1,2,220845,65,,S
male,0.67,1,1,250649,14.5,,S
male,28,0,0,350042,7.7958,,S
male,18,0,0,29108,11.5,,S
male,34,0,0,363294,8.05,,S
female,33,0,0,110152,86.5,B77,S
male,,0,0,358585,14.5,,S
male,41,0,0,SOTON/O2 3101272,7.125,,S
male,20,0,0,2663,7.2292,,C
female,36,1,2,113760,120,B96 B98,S
male,16,0,0,347074,7.775,,S
female,51,1,0,13502,77.9583,D11,S
male,,0,0,112379,39.6,,C
female,30.5,0,0,364850,7.75,,Q
male,,1,0,371110,24.15,,Q
male,32,0,0,8471,8.3625,,S
male,24,0,0,345781,9.5,,S
male,48,0,0,350047,7.8542,,S
female,57,0,0,S.O./P.P. 3,10.5,E77,S
male,,0,0,2674,7.225,,C
female,54,1,3,29105,23,,S
male,18,0,0,347078,7.75,,S
male,,0,0,383121,7.75,F38,Q
female,5,0,0,364516,12.475,,S
male,,0,0,36865,7.7375,,Q
female,43,0,1,24160,211.3375,B3,S
female,13,0,0,2687,7.2292,,C
female,17,1,0,17474,57,B20,S
male,29,0,0,113501,30,D6,S
male,,1,2,W./C. 6607,23.45,,S
male,25,0,0,SOTON/O.Q. 3101312,7.05,,S
male,25,0,0,374887,7.25,,S
female,18,0,0,3101265,7.4958,,S
male,8,4,1,382652,29.125,,Q
male,1,1,2,C.A. 2315,20.575,,S
male,46,0,0,PC 17593,79.2,B82 B84,C
male,,0,0,12460,7.75,,Q
male,16,0,0,239865,26,,S
female,,8,2,CA. 2343,69.55,,S
male,,0,0,PC 17600,30.6958,,C
male,25,0,0,349203,7.8958,,S
male,39,0,0,28213,13,,S
female,49,0,0,17465,25.9292,D17,S
female,31,0,0,349244,8.6833,,S
male,30,0,0,2685,7.2292,,C
female,30,1,1,345773,24.15,,S
male,34,0,0,250647,13,,S
female,31,1,1,C.A. 31921,26.25,,S
male,11,1,2,113760,120,B96 B98,S
male,0.42,0,1,2625,8.5167,,C
male,27,0,0,347089,6.975,,S
male,31,0,0,347063,7.775,,S
male,39,0,0,112050,0,A36,S
female,18,0,0,347087,7.775,,S
male,39,0,0,248723,13,,S
female,33,1,0,113806,53.1,E8,S
male,26,0,0,3474,7.8875,,S
male,39,0,0,A/4 48871,24.15,,S
male,35,0,0,28206,10.5,,S
female,6,4,2,347082,31.275,,S
male,30.5,0,0,364499,8.05,,S
male,,0,0,112058,0,B102,S
female,23,0,0,STON/O2. 3101290,7.925,,S
male,31,1,1,S.C./PARIS 2079,37.0042,,C
male,43,0,0,C 7075,6.45,,S
male,10,3,2,347088,27.9,,S
female,52,1,1,12749,93.5,B69,S
male,27,0,0,315098,8.6625,,S
male,38,0,0,19972,0,,S
female,27,0,1,392096,12.475,E121,S
male,2,4,1,3101295,39.6875,,S
male,,0,0,368323,6.95,,Q
male,,0,0,1601,56.4958,,S
male,1,0,2,S.C./PARIS 2079,37.0042,,C
male,,0,0,367228,7.75,,Q
female,62,0,0,113572,80,B28,
female,15,1,0,2659,14.4542,,C
male,0.83,1,1,29106,18.75,,S
male,,0,0,2671,7.2292,,C
male,23,0,0,347468,7.8542,,S
male,18,0,0,2223,8.3,,S
female,39,1,1,PC 17756,83.1583,E49,C
male,21,0,0,315097,8.6625,,S
male,,0,0,392092,8.05,,S
male,32,0,0,1601,56.4958,,S
male,,0,0,11774,29.7,C47,C
male,20,0,0,SOTON/O2 3101287,7.925,,S
male,16,0,0,S.O./P.P. 3,10.5,,S
female,30,0,0,113798,31,,C
male,34.5,0,0,2683,6.4375,,C
male,17,0,0,315090,8.6625,,S
male,42,0,0,C.A. 5547,7.55,,S
male,,8,2,CA. 2343,69.55,,S
male,35,0,0,349213,7.8958,,C
male,28,0,1,248727,33,,S
female,,1,0,17453,89.1042,C92,C
male,4,4,2,347082,31.275,,S
male,74,0,0,347060,7.775,,S
female,9,1,1,2678,15.2458,,C
female,16,0,1,PC 17592,39.4,D28,S
female,44,1,0,244252,26,,S
female,18,0,1,392091,9.35,,S
female,45,1,1,36928,164.8667,,S
male,51,0,0,113055,26.55,E17,S
female,24,0,3,2666,19.2583,,C
male,,0,0,2629,7.2292,,C
male,41,2,0,350026,14.1083,,S
male,21,1,0,28134,11.5,,S
female,48,0,0,17466,25.9292,D17,S
female,,8,2,CA. 2343,69.55,,S
male,24,0,0,233866,13,,S
female,42,0,0,236852,13,,S
female,27,1,0,SC/PARIS 2149,13.8583,,C
male,31,0,0,PC 17590,50.4958,A24,S
male,,0,0,345777,9.5,,S
male,4,1,1,347742,11.1333,,S
male,26,0,0,349248,7.8958,,S
female,47,1,1,11751,52.5542,D35,S
male,33,0,0,695,5,B51 B53 B55,S
male,47,0,0,345765,9,,S
female,28,1,0,P/PP 3381,24,,C
female,15,0,0,2667,7.225,,C
male,20,0,0,7534,9.8458,,S
male,19,0,0,349212,7.8958,,S
male,,0,0,349217,7.8958,,S
female,56,0,1,11767,83.1583,C50,C
female,25,0,1,230433,26,,S
male,33,0,0,349257,7.8958,,S
female,22,0,0,7552,10.5167,,S
male,28,0,0,C.A./SOTON 34068,10.5,,S
male,25,0,0,SOTON/OQ 392076,7.05,,S
female,39,0,5,382652,29.125,,Q
male,27,0,0,211536,13,,S
female,19,0,0,112053,30,B42,S
female,,1,2,W./C. 6607,23.45,,S
male,26,0,0,111369,30,C148,C
male,32,0,0,370376,7.75,,Q
